SKU	Picture	Color	Detail	DDP Price(USD ）	DDP Price(CAD)	Cost	 Sale Price	 Website link for photos and config and description	 Comments 	Size(CM)	package  size(CM)	CBM	weight(kg)		Stock available		
				single seater:  $425	single seater:  $628	628	  1,794 	 https://cozhaven.com/products/snugglesoft-couch-single-seat?_pos=3&_psq=snug&_ss=e&_v=1.0		115*95*65	123*98*68	0.82	48.5		10+		
			Bouclé (lamb  fleece)														
			fabric  + PU foam +												0		
AF-SF009		beige	solid pine wood +	two seater: $580	two seater: $806	806	  2,303 			180*95*65	238*98*68	1.59	71				
			plywood  + solid wood														
			"legs
washable  cover"	three seater:  $779	three seater:  $1083	1083	  3,094 			230*95*65	238*98*68	1.59	82.5		10+		
		white		left/right:  188	left/right:  261	261	  746 	 https://atunushome.com/product/linen-cloud-sofa-96-inch-corner-sectionals-4-seaters-sky-slope-52653/?variant=52654	 multiple configuration possible as its modular	105*100*75	102*98*27	0.27	38.2	white: 10+			
														black: 10+			
MH-SF140 -A		black	fabric,down  feather	armless:  173	armless:  240	240	  686 			93*100*75	102*98*27	0.27	30.1				
		light gray	infilling  cushion.														
														light gray: 10+			
				ottoman:  134	ottoman:  186	186	  531 			98*98*45	98*98*27	0.265	17				
AF-SF004		beige light gray black	"Chenille -blend fabric
+ shredded  PU foam & polyester  fiberfill seat cushion,  polyester fiberfill  back cushion, springs  & webbing, plywood,  plastic components"	left/right:  $164 	left/right:  $228 	228	  651 	 https://atunushome.com/product/linen-sectional-sofa-sleepers-3-seaters-sky-14780/	 multiple configuration possible as its modular	300*100*65 （ without back cushion ）	103*100*26  each	"0.268 each
1.06 total"	"33.3
33.3
28.1
20.4"		"beige: 10+
light gray: 10+
black: 10+"		
				armless:  $155 	armless:  $215 	215	  614 										
				ottoman:  133	ottoman:  $185	185	  529 			  4,374 							
				left/right:  $187	left/right:  $260	260	  743 	 https://atunushome.com/product/softspot-modular-sofa-three-seats/?variant=26680	 multiple configuration possible as its modular	105*110*93	103*101*28	0.29	37.8		Green: 5		
MH-SF120		light gray orange white green	"Velvet  fabric  + PU foam + down  feather
+ polyester  fiberfill  + plywood  + solid pine wood"	armless:  $171	armless:$238	238	  680 	 https://atunushome.com/product/softspot-modular-sofa-three-seats-with-1-ottoman/?variant=17049		102*110*93	103*101*29	0.29	37.9		light gray: 6		
				ottoman:  $148	ottoman:  $206	206	  589 			102*110*49	103*101*30	0.29	31.4		orange:  3		
				corner:  $214	corner:  $297	297	  849 			110*110*93	103*101*31	0.29	33.5		white: 5		
MH-SF121		black light gray white		left/right:  $188	left/right:  $261	261	  746 	 https://atunushome.com/product/cloud-modular-sofa-7-seat-chaise-corner-sectional/?variant=27478	 multiple configuration possible as its modular	100*100*59	102.5*102*30	0.314	37.5		black: 5		  3,643 
				armless:  $177	armless:  $246	246	  703 			100*100*59	102.5*102*31	0.314	33.5		light gray: 4		
				ottoman:  $153	ottoman:$213	213	  609 			100*100*47	102.5*102*32	0.314	34.5		white: 4		
MH-SF126		black beige brown	Corduroy  fabric  + PU foam + plywood	left/right:  $220	left/right:  $306	306	  874 	 https://atunushome.com/product/corduroy-modular-sofa-l-shaped-sectionals-4-seaters-pixel-24282/?variant=27812	 multiple configuration possible as its modular	130*110*63	107*86*35	0.322	46.9		beige: 5	  2,534 	
				armless:  $198	armless:  $275	275	  786 			100*110*63	107*86*30	0.276	36.5		black: 1		
				ottoman:  $115	ottoman:  $160	160	  457 			100*80*40	108*86*20	0.186	25		brown: 3		
AF-SF012		beige brown white	Suede fabric  + PU foam	singel seater:  $237	singel  seater: $329.43	329	  940 			103*88*68	100*90*68	0.61	14		"beige: 4
brown: 10+"		
																	
				three seater:  $519	three seater:  $721	721	  2,060 	 https://atunushome.com/product/teddy-velvet-lazy-sofa-72-inch-corner-sectionals-3-seaters-caterpillar-15746/?variant=15752		103*174*70	100*184*68	1.25	30		"beige: 4
brown: 1"		
MH-SF127		black white	Linen fabric  + PU foam + plywood	left/right:  $208	left/right:  $289	289	  826 	 https://atunushome.com/product/sogno-sofa-3-seat-l-shaped/?variant=32256	 multiple configuration possible as its modular	133*103*63	100*103*63	0.352			black: 8	  3,040 	
				armless:  $175	armless:  $243	243	  694 			100*103*63	100*70*39	0.649	39.4				
				ottoman:  $124	ottoman:  $172	172	  491 			100*70*39	100*70*39	0.273	25.55		white: 8		
				big corner:  $239	big corner:  $332	332	  949 			133*133*63	106*107*31	0.352	61.45				
Bubble couch		Orange, Green, light grey		1 seater				 https://atunushome.com/product/3d-knitted-modular-sofa-single-sofa-1-seaters-bubble-44620/?variant=55291									
				2 seater				 https://atunushome.com/product/3d-knitted-modular-sofa-loveseats-2-seaters-bubble-44654/?variant=55297									
				3 seater				 https://atunushome.com/product/3d-knitted-modular-sofa-sleepers-3-seaters-bubble-57780/?variant=57809									
				Ottoman				 https://atunushome.com/product/3d-knitted-modular-sofa-ottomans-1-seaters-bubble-44698/?variant=55295									
AF-SF023		brown white	Velvet  fabric  + PU foam + polyester fiberfill  + down feather  + solid wood frame + black  titanium  stainless  steel pedestal  leg	$369	$513	$513	  1,466 	 https://atunusfurniture.com/product/modern-enveloping-single-sofa-chair-cream-white-velvet-light-luxury-design-for-living-room-leisure-area/		95*93*70	95*95*68	0.62	32		"brown: 8
white: 10"		
AF-SF024				$1,026	$1,426	$1,426	  4,074 	 https://atunusfurniture.com/product/modern-cashew-shaped-sofa-cream-white-fabric-artistic-shape-for-living-room-leisure-area/		246*125*75	248*129*48	2.25	74		"brown:  10
white: 10"		
AF-LC01		black white	Genuine  leather  + PU foam + solid pine wood + lacquered board  + metal legs					 https://atunusfurniture.com/product/modern-classic-leather-lounge-chair-with-ottoman/		chair: 87.5*68*86 otto: 64*50*42.5	chair: 99*90*53 otto: 64*65*36	0.62	"chair: 24.6
otto: 12.7"		"black: 8
white: 9"		
AF-UP50		blue white	Spandex  & polyester blended  fabric  + PU foam	$544	$756	$756	  2,160 	 https://atunusfurniture.com/product/unique-modern-stripe-accent-chair-sofa-with-ottoman/		102*120*95	107*125*100	1.388	36.5		"blue: 5
red: 5"		
AF-SF129		light gray	3D knitted  fabric  (dot texture)  + polyester fiber + PU foam	$420	$584	$584	  1,669 	 https://atunushome.com/product/3d-knitted-modular-sofa-loveseats-2-seaters-bubble-46588/?variant=46593		130*105*70	140*35*35	0.34	27		2		
AF-SF006		beige orange	Velvet  fabric  upholstery, PU foam  padding,  solid pine  wood  and  plywood frame,  solid  wood  legs.	Left/riget:  $215 	Left/riget:  $299 	299	  854 	 https://atunushome.com/product/velvet-modular-sofa-u-shaped-sectionals-6-seaters-urban-14820/?variant=14821	 multiple configuration possible as its modular	left/right:  94*94*67 mid: 94*94*67 otto: 94*94*42	"88.9*88.9*38.1
for each box"	0.3	"left/right:  27.27
mid: 24.55
otto: 17.27"		"beige: 7
orange:  7"		  3,320 
				armless:  $203 	armless:  $282 	282	  806 										
				ottoman:  $179	ottoman:  $249	249	  711 										
AF-SF007		beige	"Bouclé (lamb  fleece) fabric  + PU foam + solid pine wood + plywood  + electroplated  stainless
steel base"	$260	$361	$361	  1,031 	 https://atunusfurniture.com/product/modern-armless-single-sofa-round-seat/		80*80*72	78*85*70	0.464	16.5		10+		
MH-SF134		black white		$299	$416	$416	  1,189 	 https://atunushome.com/product/bubble-curve-boneless-sherpa-fleece-sofa-comfy-loveseat-couch-deep-seat-lounge-sofa/?variant=63138		230*105*75	125*45*45		36.43		"black: 3
white: 4"		
MH-AC003		beige black brown	"Upholstered  in faux rabbit  fur (long-pile), filled with PU foam and down  feather, supported  by a solid
ash wood frame."	$202	$281	$281	  803 	 https://atunusfurniture.com/product/leisure-lounge-chair-corduroy-fabric-solid-wood-frame-for-living-room-corner-bedroom-rest-area/		120*130*90	122*75*21	0.19	38		10+		
AF-B2407		king	"Bouclé (lamb  fleece)
fabric + solid pine wood  beams + high- density  PU foam + steel-wood  slatted  bed
base + solid wood legs"	$904	$1,257	$1,257	  3,591 	 https://cozhaven.com/products/mara-3d-bubble-bed?_pos=1&_psq=bubble&_ss=e&_v=1.0		240*270*100	Headboard ：204*48*105 Bed base ：192*40*67 Slat frame ：153*203*5	1.7	Headboard ： 38 Bed base： 40 Slat frame ：23		king size: 4		
		queen		$829	$1,152	$1,152	  3,291 			202*270*100	Headboard ：244*48*105 Bed base ：232*40*67 Slat frame ：193*203*5	2.05	Headboard ： 44 Bed base： 48 Slat frame ：27		queen size: 10		
AF-CT001		coffee  tabel	Tempered  glass + oak wood	$68	$95	$95	  271 	 https://atunusfurniture.com/product/modern-oak-glass-coffee-table/		114*82*40	123*99*8.5	0.1	19		10		
AF-CT002		coffee  tabel	"Sintered  stone + high- density  board  (HDF)
+ pine wood trim panel"	$240	$334	$334	  954 	 https://atunusfurniture.com/product/scandi-round-sintered-stone-coffee-table/		90*90*38	93*93*46	0.4	44.5		10+		
AF-CT003		coffee  tabel	"Sintered  stone + high- density  board  (HDF)
+ pine wood trim panel"	$209	$291	$291	  831 	 https://atunusfurniture.com/product/modern-rectangular-sintered-stone-coffee-table/		120*60*35	127*67*49	0.39	84.7		5		
AF-DT001		Square -edge tabletop  + square legs	Marble	$334	$464	$464	  1,326 	 https://atunusfurniture.com/product/modern-marble-dining-table-rectangular-center-tables-with-sintered-stone-top-for-home-living-room/		180*90*75	top:186*98*10 leg:58*58*77	0.44	top:85 leg:36		"pandora140:  3
white140:  4"		
																	
				$273	$379	$379	  1,083 			140*80*75	top:146*88*10 leg:50*50*77	0.32			"pandora180:  9
white180:  10"		
AF-DT003			Marble	top: $260 lazy susan:$72	top: $361 lazy susan:$100	811	  2,317 	 https://atunusfurniture.com/product/modern-round-marbledining-table-with-turntable-painted-iron-leg-for-dining-room/		150*150*75	top: 156*156*10 lazy susan:73*64*74	top: 0.24 lazy susan:0.35	top: 117.4 lazy susan:18		150CM:  9		
				leg: $252	leg: $350						73*64*74	0.35	36		120CM:  10		
AF-DC1N		chair	Bouclé (lamb  fleece) fabric;  rubber  wood frame  in walnut  finish	$65	$90	$90	  257 	 https://atunusfurniture.com/product/fleece-upholsteted-ash-woord-dining-chait/		54*52*85	77*70*49				7		
AF-TS002		tv stand		$463	$644	$644	  1,840 	 https://atunusfurniture.com/product/mid-century-slatted-wood-tv-stand/		180*40*54	187*74*51	1.54	51.8		10		
AF-BS01		beige						 https://atunusfurniture.com/product/modern-luxury-solid-wood-bar-stool/			72*57*110	0.451	9.3		10		
AF-DC007		dinning  chairs		$142	$197	$197	  563 	 https://atunusfurniture.com/product/modern-light-luxury-teddy-fabric-dining-chair/		59*59*76.5	72*52*92	0.34	20		"black: 8
wood: 5"		
